ticker,date,open,high,low,close,volume,adj_close,created_at
LLOY.L,2023-10-12,43.41,43.655,42.995,43.42,159233092,43.42,2025-06-23 12:50:12.926
LLOY.L,2023-10-13,43.49,43.85,42.79,43.23,166940735,43.23,2025-06-23 12:50:12.927
LLOY.L,2023-10-16,43.41,43.812,43.24,43.51,111510390,43.51,2025-06-23 12:50:12.928
LLOY.L,2023-10-17,43.8,44.03,43.415,43.8,141280133,43.8,2025-06-23 12:50:12.93
LLOY.L,2023-10-18,44.0,44.0,42.85,42.85,91714127,42.85,2025-06-23 12:50:12.931
LLOY.L,2023-10-19,42.68,43.215,41.88,41.88,153457095,41.88,2025-06-23 12:50:12.932
LLOY.L,2023-10-20,41.545,42.04,41.355,41.585,285516284,41.585,2025-06-23 12:50:12.933
LLOY.L,2023-10-23,41.615,41.865,41.17,41.415,122817827,41.415,2025-06-23 12:50:12.934
LLOY.L,2023-10-24,40.0,40.934,39.42,40.575,154084778,40.575,2025-06-23 12:50:12.936
LLOY.L,2023-10-25,40.88,41.65,39.538,41.46,294434604,41.46,2025-06-23 12:50:12.937
LLOY.L,2023-10-26,41.405,41.51,40.605,41.17,195470449,41.17,2025-06-23 12:50:12.938
LLOY.L,2023-10-27,40.755,40.93,39.605,39.755,210222754,39.755,2025-06-23 12:50:12.939
LLOY.L,2023-10-30,39.78,40.545,39.745,40.035,128456500,40.035,2025-06-23 12:50:12.94
LLOY.L,2023-10-31,40.17,40.38,39.87,39.94,130698761,39.94,2025-06-23 12:50:12.942
LLOY.L,2023-11-01,40.0,40.52,39.79,40.145,100469078,40.145,2025-06-23 12:50:12.943
LLOY.L,2023-11-02,40.34,41.86,39.795,41.775,312062950,41.775,2025-06-23 12:50:12.944
LLOY.L,2023-11-03,42.0,42.82,41.485,42.435,139741423,42.435,2025-06-23 12:50:12.945
LLOY.L,2023-11-06,42.43,42.585,42.005,42.13,77853902,42.13,2025-06-23 12:50:12.947
LLOY.L,2023-11-07,42.1,42.59,41.91,42.05,83864994,42.05,2025-06-23 12:50:12.948
LLOY.L,2023-11-08,41.68,42.195,41.5,41.99,106611374,41.99,2025-06-23 12:50:12.949
LLOY.L,2023-11-09,41.91,42.54,41.7,42.28,90991161,42.28,2025-06-23 12:50:12.95
LLOY.L,2023-11-10,42.165,42.2,41.493,41.75,345691791,41.75,2025-06-23 12:50:12.951
LLOY.L,2023-11-13,42.015,42.215,41.76,42.02,70595867,42.02,2025-06-23 12:50:12.953
LLOY.L,2023-11-14,41.97,42.345,41.455,42.255,139219947,42.255,2025-06-23 12:50:12.954
LLOY.L,2023-11-15,42.515,43.275,42.48,43.095,157686991,43.095,2025-06-23 12:50:12.955
LLOY.L,2023-11-16,43.06,43.345,42.57,42.775,262838706,42.775,2025-06-23 12:50:12.956
LLOY.L,2023-11-17,42.77,43.515,42.415,43.375,131097373,43.375,2025-06-23 12:50:12.957
LLOY.L,2023-11-20,43.33,43.505,42.69,43.05,68951425,43.05,2025-06-23 12:50:12.959
LLOY.L,2023-11-21,42.8,43.275,42.38,42.55,97882442,42.55,2025-06-23 12:50:12.96
LLOY.L,2023-11-22,42.625,42.925,42.24,42.3,71422387,42.3,2025-06-23 12:50:12.961
LLOY.L,2023-11-23,42.14,42.635,42.015,42.345,109460887,42.345,2025-06-23 12:50:12.962
LLOY.L,2023-11-24,42.355,42.62,42.015,42.475,123445468,42.475,2025-06-23 12:50:12.963
LLOY.L,2023-11-27,42.375,42.83,41.995,42.05,113174343,42.05,2025-06-23 12:50:12.965
LLOY.L,2023-11-28,42.39,42.575,42.14,42.45,121684970,42.45,2025-06-23 12:50:12.966
LLOY.L,2023-11-29,42.3,43.6,42.16,43.45,111953267,43.45,2025-06-23 12:50:12.967
LLOY.L,2023-11-30,43.44,43.81,43.07,43.47,290285051,43.47,2025-06-23 12:50:12.968
LLOY.L,2023-12-01,43.66,44.512,43.605,44.49,160245655,44.49,2025-06-23 12:50:12.969
LLOY.L,2023-12-04,44.405,45.185,44.14,45.13,187178392,45.13,2025-06-23 12:50:12.971
LLOY.L,2023-12-05,44.605,45.17,44.595,45.01,103673064,45.01,2025-06-23 12:50:12.972
LLOY.L,2023-12-06,45.125,46.03,44.735,45.805,171340246,45.805,2025-06-23 12:50:12.973
LLOY.L,2023-12-07,45.38,45.715,45.18,45.715,121355246,45.715,2025-06-23 12:50:12.974
LLOY.L,2023-12-08,46.0,46.7,45.37,46.335,218162800,46.335,2025-06-23 12:50:12.976
LLOY.L,2023-12-11,46.285,46.422,45.405,46.115,102125509,46.115,2025-06-23 12:50:12.977
LLOY.L,2023-12-12,46.23,46.535,45.565,45.9,153936602,45.9,2025-06-23 12:50:12.978
LLOY.L,2023-12-13,45.97,46.47,45.905,46.185,162422114,46.185,2025-06-23 12:50:12.979
LLOY.L,2023-12-14,46.65,48.07,46.529,47.54,267269452,47.54,2025-06-23 12:50:12.981
LLOY.L,2023-12-15,47.715,48.145,46.95,47.015,256590061,47.015,2025-06-23 12:50:12.982
LLOY.L,2023-12-18,46.865,47.3,46.58,47.0,102858584,47.0,2025-06-23 12:50:12.983
LLOY.L,2023-12-19,46.8,46.98,46.58,46.725,71350424,46.725,2025-06-23 12:50:12.984
LLOY.L,2023-12-20,47.435,47.85,46.845,47.465,152355344,47.465,2025-06-23 12:50:12.986
LLOY.L,2023-12-21,46.92,47.235,46.69,47.19,78173737,47.19,2025-06-23 12:50:12.987
LLOY.L,2023-12-22,47.305,48.065,47.155,48.045,84428889,48.045,2025-06-23 12:50:12.988
LLOY.L,2023-12-27,47.925,48.375,47.745,48.13,69861559,48.13,2025-06-23 12:50:12.99
LLOY.L,2023-12-28,48.17,48.23,47.81,47.97,61253154,47.97,2025-06-23 12:50:12.991
LLOY.L,2023-12-29,47.775,47.935,47.6,47.71,63185526,47.71,2025-06-23 12:50:12.992
LLOY.L,2024-01-02,47.84,48.225,47.71,48.07,104802741,48.07,2025-06-23 12:50:12.993
LLOY.L,2024-01-03,48.135,48.23,47.3,47.455,101964262,47.455,2025-06-23 12:50:12.994
LLOY.L,2024-01-04,47.325,47.69,47.085,47.565,103495456,47.565,2025-06-23 12:50:12.996
LLOY.L,2024-01-05,47.295,47.48,46.75,47.26,103322339,47.26,2025-06-23 12:50:12.997
LLOY.L,2024-01-08,47.285,47.565,46.934,47.565,85029299,47.565,2025-06-23 12:50:12.998
LLOY.L,2024-01-09,47.675,47.79,47.44,47.6,54516475,47.6,2025-06-23 12:50:12.999
LLOY.L,2024-01-10,47.445,47.535,46.9,46.995,62875455,46.995,2025-06-23 12:50:13.001
LLOY.L,2024-01-11,47.115,47.237,45.225,45.24,225123886,45.24,2025-06-23 12:50:13.002
LLOY.L,2024-01-12,45.4,46.02,44.973,44.98,103407389,44.98,2025-06-23 12:50:13.003
LLOY.L,2024-01-15,44.2,44.785,43.815,43.825,158625054,43.825,2025-06-23 12:50:13.004
LLOY.L,2024-01-16,43.46,43.785,43.015,43.115,115578446,43.115,2025-06-23 12:50:13.005
LLOY.L,2024-01-17,42.57,42.7,41.975,42.27,150656184,42.27,2025-06-23 12:50:13.006
LLOY.L,2024-01-18,42.185,42.85,42.13,42.5,162393003,42.5,2025-06-23 12:50:13.008
LLOY.L,2024-01-19,42.79,43.12,42.38,42.665,215285260,42.665,2025-06-23 12:50:13.009
LLOY.L,2024-01-22,42.96,43.875,42.96,43.42,92429369,43.42,2025-06-23 12:50:13.01
LLOY.L,2024-01-23,43.68,43.85,43.06,43.06,163007851,43.06,2025-06-23 12:50:13.012
LLOY.L,2024-01-24,43.25,43.515,41.983,42.155,232089944,42.155,2025-06-23 12:50:13.013
LLOY.L,2024-01-25,41.99,42.0,41.255,41.525,180477468,41.525,2025-06-23 12:50:13.014
LLOY.L,2024-01-26,41.525,42.665,41.405,42.1,227073805,42.1,2025-06-23 12:50:13.015
LLOY.L,2024-01-29,42.125,42.45,41.875,42.28,89192868,42.28,2025-06-23 12:50:13.016
LLOY.L,2024-01-30,42.425,43.055,42.4,43.015,144582087,43.015,2025-06-23 12:50:13.017
LLOY.L,2024-01-31,42.49,42.815,42.365,42.535,142008721,42.535,2025-06-23 12:50:13.019
LLOY.L,2024-02-01,42.125,43.408,42.0,42.33,168984386,42.33,2025-06-23 12:50:13.02
LLOY.L,2024-02-02,42.84,43.035,42.285,42.315,89965838,42.315,2025-06-23 12:50:13.021
LLOY.L,2024-02-05,41.75,42.615,41.04,41.89,364068881,41.89,2025-06-23 12:50:13.022
