setup_id,setup_date,stock_ticker,day_number,trading_date,stock_price,benchmark_price,stock_return_day,benchmark_return_day,outperformance_day,stock_return_cumulative,benchmark_return_cumulative,outperformance_cumulative,is_outperforming_day,benchmark_ticker,calculation_date
LGEN_2025-05-29,2025-05-29,LGEN.L,4,2025-06-04,254.6,754.35,0.35475332,0.11147375,0.24327958,3.160455,1.2767774,1.8836776,true,^FTAI,2025-06-25 23:42:01.026
LGEN_2025-05-29,2025-05-29,LGEN.L,5,2025-06-05,257.9,754.46,1.296146,0.0145882405,1.2815578,4.4975653,1.2915518,3.2060132,true,^FTAI,2025-06-25 23:42:01.028
LGEN_2025-05-29,2025-05-29,LGEN.L,6,2025-06-06,256.1,756.88,-0.69794023,0.32075694,-1.0186971,3.7682345,1.6164515,2.151783,false,^FTAI,2025-06-25 23:42:01.03
LGEN_2025-05-29,2025-05-29,LGEN.L,7,2025-06-09,257.3,763.89,0.4685598,0.9261719,-0.45761207,4.254451,2.5575945,1.6968563,false,^FTAI,2025-06-25 23:42:01.031
LGEN_2025-05-29,2025-05-29,LGEN.L,8,2025-06-10,257.6,766.32,0.11660253,0.31810766,-0.20150512,4.376014,2.8838382,1.492176,false,^FTAI,2025-06-25 23:42:01.033
LGEN_2025-05-29,2025-05-29,LGEN.L,9,2025-06-11,255.7,768.83,-0.7375812,0.32754067,-1.0651219,3.6061563,3.2208245,0.38533178,false,^FTAI,2025-06-25 23:42:01.034
LGEN_2025-05-29,2025-05-29,LGEN.L,10,2025-06-12,253.3,765.88,-0.93859756,-0.38370147,-0.55489606,2.6337116,2.8247647,-0.19105321,false,^FTAI,2025-06-25 23:42:01.036
KZG_2024-10-16,2024-10-16,KZG.L,1,2024-10-17,1.21,742.39,7.555559,0.40031132,7.1552477,7.555559,0.40031132,7.1552477,true,^FTAI,2025-06-26 01:59:11.947
KZG_2024-10-16,2024-10-16,KZG.L,2,2024-10-18,1.175,740.69,-2.892569,-0.22899179,-2.663577,4.4444404,0.17040285,4.2740374,false,^FTAI,2025-06-26 01:59:11.951
KZG_2024-10-16,2024-10-16,KZG.L,3,2024-10-21,1.2,734.95,2.1276677,-0.77495176,2.9026196,6.666671,-0.6058695,7.2725406,true,^FTAI,2025-06-26 01:59:11.952
KZG_2024-10-16,2024-10-16,KZG.L,4,2024-10-22,1.3,734.16,8.333325,-0.10749562,8.440821,15.555552,-0.7127138,16.268265,true,^FTAI,2025-06-26 01:59:11.954
KZG_2024-10-16,2024-10-16,KZG.L,5,2024-10-23,1.25,729.13,-3.8461504,-0.68513244,-3.161018,11.111111,-1.3929632,12.504074,false,^FTAI,2025-06-26 01:59:11.955
KZG_2024-10-16,2024-10-16,KZG.L,6,2024-10-24,1.2,725.69,-3.9999962,-0.4717955,-3.5282006,6.666671,-1.8581867,8.5248575,false,^FTAI,2025-06-26 01:59:11.957
KZG_2024-10-16,2024-10-16,KZG.L,7,2024-10-25,1.175,722.67,-2.0833411,-0.41615835,-1.6671828,4.4444404,-2.266612,6.7110524,false,^FTAI,2025-06-26 01:59:11.958
KZG_2024-10-16,2024-10-16,KZG.L,8,2024-10-28,1.1,721.1,-6.3829727,-0.21725094,-6.165722,-2.2222202,-2.4789388,0.25671872,false,^FTAI,2025-06-26 01:59:11.96
KZG_2024-10-16,2024-10-16,KZG.L,9,2024-10-29,1.1,715.79,0.0,-0.7363747,0.7363747,-2.2222202,-3.1970592,0.9748391,true,^FTAI,2025-06-26 01:59:11.961
KZG_2024-10-16,2024-10-16,KZG.L,10,2024-10-30,1.075,744.52,-2.272725,4.013753,-6.286478,-4.4444404,0.6883717,-5.132812,false,^FTAI,2025-06-26 01:59:11.963
